word,hint
가로,선이나 방향이 옆을 향하는 것
가수,노래를 직업으로 하는 사람
가을,한 해의 세 번째 계절
강물,강에서 흐르는 물
개미,작고 부지런한 곤충
거미,거미줄을 치는 절지동물
고기,동물의 살코기
공기,지구를 둘러싼 투명한 기체
공원,시민들이 쉴 수 있는 넓은 녹지
구름,하늘에 떠 있는 수증기 덩어리
국어,우리나라의 말과 글
기차,철로 위를 달리는 교통수단
기린,목이 아주 긴 육상 동물
나라,일정한 영토를 가진 국가
나무,가지와 잎이 우거진 식물
나비,꽃에서 꿀을 빠는 아름다운 곤충
남자,성별이 남성인 사람
노래,목소리로 음악을 표현하는 것
눈물,슬프거나 기쁠 때 눈에서 나오는 액체
다리,몸을 지탱하고 걷게 하는 신체 부위
도로,자동차가 달리는 포장된 길
독서,책을 읽는 행위
동생,자신보다 나이가 어린 형제자매
두부,콩으로 만든 하얀 식품
등산,산에 오르는 운동
마음,생각과 감정이 있는 정신적 내면
마을,여러 집이 모여 사는 작은 공동체
머리,몸의 가장 위에 있는 부분
모기,피를 빠는 날개 달린 해충
모래,잘게 부서진 돌 알갱이
바다,넓고 짠 물로 가득 찬 곳
바람,공기가 움직이는 현상
박수,두 손바닥을 마주쳐 내는 소리
버스,여러 사람이 타는 대형 교통수단
보리,식량으로 쓰이는 곡식
부모,아버지와 어머니를 아울러 부르는 말
사과,붉고 아삭한 가을 대표 과일
사자,갈기가 멋진 초원의 맹수
새벽,밤이 끝나고 동이 트기 전
서울,대한민국의 수도
선생,학생을 가르치는 사람
소금,짠 맛이 나는 흰 조미료
수박,줄무늬가 있는 시원한 여름 과일
시간,흘러가는 일정한 단위
시계,시간을 알려주는 기계
식물,땅에 뿌리를 내리고 사는 생물
아기,태어난 지 얼마 안 된 어린아이
아침,하루의 시작 시간
안경,시력을 보완하기 위해 눈에 쓰는 도구
야구,방망이로 공을 치고 달리는 스포츠
여름,한 해 중 가장 더운 계절
여행,다른 곳을 구경하러 떠나는 것
연필,흑연 심으로 글씨를 쓰는 필기구
영어,영국과 미국에서 쓰는 언어
오리,물가에 사는 납작한 부리의 새
우산,비를 막기 위해 펼치는 도구
의자,사람이 앉을 때 쓰는 대표 가구
이불,잘 때 몸을 덮는 두꺼운 천
장갑,손을 보호하기 위해 끼는 것
전화,먼 거리에서 소리로 대화하는 장치
조개,딱딱한 껍데기를 가진 바다 생물
지도,땅의 모양을 그린 그림
지구,우리가 살고 있는 행성
참외,노란색에 흰 줄무늬가 있는 과일
축구,발로 공을 차 골대에 넣는 스포츠
친구,가깝게 사귀어 정이 든 사람
태양,지구에 빛과 열을 주는 별
토끼,귀가 길고 깡충깡충 뛰는 동물
포도,송이송이 매달린 보라색 과일
하늘,구름과 해가 떠 있는 파란 공간
학교,배움을 공유하는 교육 기관
호수,육지 안에 고여 있는 큰 물
고래,바다에 사는 가장 큰 포유류
과학,자연 현상을 연구하는 학문
기름,물에 섞이지 않는 미끄러운 액체
김치,배추를 발효시킨 한국 대표 음식
당근,주황빛의 뿌리채소
도장,이름 글자를 새긴 도구
동굴,바위나 땅속에 뚫린 공간
만화,그림으로 표현한 이야기
목욕,몸을 물로 씻는 행위
바위,크고 단단한 돌
봉사,남을 위해 힘을 쓰는 행동
분필,칠판에 글씨를 쓰는 도구
비누,몸을 씻을 때 쓰는 세정제
수영,물속에서 몸을 움직이는 운동
시험,지식이나 능력을 검사하는 것
양말,발에 신는 얇은 천
우표,편지에 붙이는 요금 납부 도장
인형,사람이나 동물 모양의 장난감
저금,돈을 아껴 모으는 것
종이,글씨를 쓰거나 인쇄하는 얇은 재료
주사,약을 주사기로 놓는 행위
지갑,돈과 카드를 넣는 작은 가방
철새,계절에 따라 이동하는 새
태풍,강한 바람과 비를 동반하는 폭풍
파도,바람에 의해 출렁이는 바닷물
폭포,높은 곳에서 떨어지는 물줄기
학생,학교에 다니며 공부하는 사람
딸기,빨갛고 달콤한 봄 과일
모자,머리에 쓰는 것
신발,발에 신는 것
편지,글로 마음을 전하는 종이
일기,하루의 일을 적는 글
달력,날짜와 요일을 적어 둔 표
공책,필기하는 노트
우유,소에서 얻은 하얀 음료
버섯,습한 곳에 자라는 균류
포크,음식을 찍어 먹는 도구
그릇,음식을 담는 용기
가방,물건을 넣어 다니는 용품
계단,위아래로 오르내리는 층계
복도,건물 내부의 통로
교실,학생들이 공부하는 방
강산,산과 강으로 이루어진 자연
계절,봄 여름 가을 겨울의 네 시기
화가,그림을 그리는 예술가
서점,책을 파는 가게
필통,필기구를 넣는 통
수저,숟가락과 젓가락을 합친 말
허리,몸통의 잘록한 부분
거리,두 지점 사이의 공간적 간격
자리,사람이 앉거나 서는 위치
고리,고리 모양의 둥근 것
소리,귀로 듣는 음파
누리,세상이나 세계를 뜻하는 말
우리,자신이 속한 집단을 가리키는 말
나리,백합과의 여러해살이 꽃
무리,여럿이 모인 한 덩어리
보람,수고한 만큼 느끼는 만족
노력,목적 달성을 위해 힘을 씀
