id,theme,question,choice_1,choice_2,choice_3
1,love,누군가 먼저 연락한다면?,기분 좋게 답한다,잠시 고민한다,읽고 넘긴다
2,love,오늘 마음이 향하는 방향은?,설렘,안정,혼자만의 시간
3,love,상대방의 어떤 면이 제일 좋아?,유머,배려,신뢰
4,love,오늘 가장 설레는 순간은?,우연한 눈 맞춤,깜짝 연락,칭찬 한마디
5,love,오늘 누군가 생각났어?,응 많이,잠깐,아니
6,love,오늘 하루를 마무리하는 감정은?,따뜻해,아쉬워,평온해
7,love,지금 가장 필요한 건?,사랑,돈,쉼
8,love,오늘 나를 가장 잘 표현하는 색은?,따뜻한 주황,차분한 파랑,신비로운 보라
9,love,연애할 때 나는 어떤 타입?,적극적,기다리는 편,상황 봐서
10,love,오늘 가장 듣고 싶은 말은?,보고 싶어,잘하고 있어,사랑해
11,love,썸 탈 때 나의 모습은?,먼저 다가간다,티 안 낸다,친구처럼 지낸다
12,love,지금 내 마음을 색으로 표현하면?,빨강,노랑,파랑
13,love,좋아하는 사람이 생기면 제일 먼저?,연락한다,SNS 살펴본다,혼자 설렌다
14,love,오늘 인연을 만날 것 같아?,응 느낌 와,모르겠어,별로 없을 것 같아
15,love,사랑받고 있다는 느낌이 드는 건?,연락이 올 때,함께할 때,혼자인데도 든든할 때
16,money,갑자기 여유 시간이 생긴다면?,돈 되는 일을 찾는다,쇼핑한다,집에서 쉰다
17,money,돈이 생기면 제일 먼저?,저축한다,투자한다,써버린다
18,money,오늘 지갑 사정은?,넉넉해,보통이야,빠듯해
19,money,요즘 돈에 대해 어떻게 느껴?,만족해,부족해,신경 안 써
20,money,충동구매를 할 것 같은 오늘?,참을 수 있어,조금 위험해,이미 했어
21,money,오늘 작은 행운이 있었나요?,있었어,잘 모르겠어,없었어
22,money,지금 이 순간 가장 소중한 건?,시간,돈,사람
23,money,재테크에 관심 있어?,적극적으로 한다,조금 한다,잘 모른다
24,money,오늘 소비 계획은?,딱 필요한 것만,좀 더 쓸 것 같아,아직 모르겠어
25,money,돈보다 중요한 건 뭐야?,건강,관계,시간
26,money,지금 통장 잔고를 본다면?,괜찮아,볼까 말까,안 보는 게 나을 것 같아
27,money,오늘 뜻밖의 수입이 생긴다면?,저축한다,맛있는 거 먹는다,선물한다
28,money,소비할 때 나는?,계획적,즉흥적,반반
29,money,지금 가장 사고 싶은 건?,경험(여행/취미),물건,딱히 없어
30,money,재물운을 높이려면?,일을 더 한다,절약한다,운에 맡긴다
31,mind,혼자 있을 때 주로 뭘 해?,유튜브 본다,생각에 잠긴다,잠을 잔다
32,mind,지금 내 마음 상태는?,차분해,복잡해,모르겠어
33,mind,오늘 기분을 색으로 표현하면?,밝은 노랑,차분한 파랑,신비로운 보라
34,mind,지금 가장 하고 싶은 건?,여행,수면,대화
35,mind,오늘 가장 많이 한 생각은?,사람,미래,현재
36,mind,오늘 나에게 가장 필요한 말은?,잘하고 있어,괜찮아,내일은 더 좋을 거야
37,mind,오늘 가장 끌리는 것은?,사람,돈,휴식
38,mind,스트레스받으면 나는?,혼자 삭인다,누군가에게 말한다,몸을 움직인다
39,mind,지금 내게 필요한 에너지는?,따뜻함,자극,고요함
40,mind,오늘 하루 집중하고 싶은 건?,일/공부,나 자신,관계
41,mind,요즘 나에게 잘 해주고 있어?,그런 편이야,노력 중이야,못 해주고 있어
42,mind,지금 내 감정을 동물로 표현하면?,고양이(자유로운),곰(느긋한),새(불안한)
43,mind,오늘 가장 두려운 건?,실패,외로움,변화
44,mind,나를 가장 잘 아는 건?,나 자신,가까운 친구,아무도 모른다
45,mind,지금 이 순간 평화롭게 만드는 건?,음악,자연,침묵
46,luck,오늘의 운을 한 단어로?,좋음,보통,모르겠음
47,luck,오늘 운수는 몇 점?,90점 이상,60~89점,60점 미만
48,luck,오늘 행운의 숫자를 고른다면?,3,7,9
49,luck,오늘 나를 한 단어로 표현하면?,빛나는,조용한,성장하는
50,luck,오늘 하늘을 봤어?,맑았어,흐렸어,못 봤어
51,luck,내일의 나에게 한마디 한다면?,화이팅!,천천히 가자,기대돼
52,luck,오늘 가장 빛나는 순간은 언제?,아침,낮,저녁
53,luck,오늘 하루 점수를 준다면?,80점 이상,50~79점,50점 미만
54,luck,지금 가장 듣고 싶은 말은?,잘 될 거야,운이 좋네,오늘 멋진데?
55,luck,행운이 온다면 어떤 형태일 것 같아?,뜻밖의 만남,예상 못 한 소식,작은 기쁨
56,luck,오늘 직감이 말하는 건?,좋은 일이 온다,조심해야 해,평범한 하루
57,luck,오늘 행운의 컬러는?,골드,라벤더,민트
58,luck,지금 이 순간 운의 흐름은?,상승 중,유지 중,하락 중
59,luck,오늘 어떤 행운을 기대해?,인간관계,돈,건강
60,luck,운명을 믿어?,완전히,반반,별로
